2025-05-05 21:13:38.693 INFO [pid-2473] @run.py:34 Loading data...
323715it [00:13, 24217.46it/s]
10053it [00:00, 26846.56it/s]
1332it [00:00, 33491.27it/s]
2025-05-05 21:13:52.476 INFO [pid-2473] @run.py:40 Time usage: 0:00:14
2025-05-05 21:19:54.521 INFO [pid-2473] @train_eval.py:56 Iter:   6099,  Train Loss: 0.097,  Train Acc: 96.09%,  Val Loss:   0.1,  Val Acc: 96.32%,  Time: 0:06:02 
2025-05-05 21:20:00.565 INFO [pid-2473] @train_eval.py:56 Iter:   6199,  Train Loss: 0.068,  Train Acc: 96.09%,  Val Loss: 0.091,  Val Acc: 96.70%,  Time: 0:06:08 
2025-05-05 21:20:06.623 INFO [pid-2473] @train_eval.py:56 Iter:   6299,  Train Loss: 0.031,  Train Acc: 98.44%,  Val Loss: 0.085,  Val Acc: 96.84%,  Time: 0:06:14 
2025-05-05 21:20:12.755 INFO [pid-2473] @train_eval.py:56 Iter:   6399,  Train Loss: 0.049,  Train Acc: 97.66%,  Val Loss: 0.087,  Val Acc: 96.78%,  Time: 0:06:20 
2025-05-05 21:20:18.692 INFO [pid-2473] @train_eval.py:56 Iter:   6499,  Train Loss: 0.025,  Train Acc: 99.22%,  Val Loss: 0.087,  Val Acc: 96.83%,  Time: 0:06:26 
2025-05-05 21:20:24.753 INFO [pid-2473] @train_eval.py:56 Iter:   6599,  Train Loss: 0.073,  Train Acc: 97.66%,  Val Loss: 0.083,  Val Acc: 96.93%,  Time: 0:06:32 *
2025-05-05 21:20:30.797 INFO [pid-2473] @train_eval.py:56 Iter:   6699,  Train Loss: 0.065,  Train Acc: 99.22%,  Val Loss: 0.084,  Val Acc: 96.91%,  Time: 0:06:38 
2025-05-05 21:20:36.765 INFO [pid-2473] @train_eval.py:56 Iter:   6799,  Train Loss:  0.12,  Train Acc: 95.31%,  Val Loss: 0.086,  Val Acc: 96.82%,  Time: 0:06:44 
2025-05-05 21:20:42.295 INFO [pid-2473] @train_eval.py:56 Iter:   6899,  Train Loss:  0.04,  Train Acc: 98.44%,  Val Loss: 0.093,  Val Acc: 96.53%,  Time: 0:06:49 
2025-05-05 21:20:48.396 INFO [pid-2473] @train_eval.py:56 Iter:   6999,  Train Loss: 0.056,  Train Acc: 97.66%,  Val Loss: 0.088,  Val Acc: 96.74%,  Time: 0:06:56 
2025-05-05 21:20:54.457 INFO [pid-2473] @train_eval.py:56 Iter:   7099,  Train Loss: 0.081,  Train Acc: 96.88%,  Val Loss: 0.089,  Val Acc: 96.75%,  Time: 0:07:02 
2025-05-05 21:21:00.292 INFO [pid-2473] @train_eval.py:56 Iter:   7199,  Train Loss: 0.038,  Train Acc: 98.44%,  Val Loss: 0.089,  Val Acc: 96.74%,  Time: 0:07:07 
2025-05-05 21:21:06.443 INFO [pid-2473] @train_eval.py:56 Iter:   7299,  Train Loss:  0.11,  Train Acc: 95.31%,  Val Loss: 0.088,  Val Acc: 96.73%,  Time: 0:07:14 
2025-05-05 21:21:12.559 INFO [pid-2473] @train_eval.py:56 Iter:   7399,  Train Loss: 0.059,  Train Acc: 97.66%,  Val Loss: 0.086,  Val Acc: 96.85%,  Time: 0:07:20 
2025-05-05 21:21:18.518 INFO [pid-2473] @train_eval.py:56 Iter:   7499,  Train Loss: 0.074,  Train Acc: 96.88%,  Val Loss: 0.088,  Val Acc: 96.78%,  Time: 0:07:26 
2025-05-05 21:21:22.587 INFO [pid-2473] @train_eval.py:72 ==================================================
2025-05-05 21:21:22.864 INFO [pid-2473] @train_eval.py:78 Precision: 0.9110576923076923
2025-05-05 21:21:22.864 INFO [pid-2473] @train_eval.py:79 Recall: 0.9110576923076923
2025-05-05 21:21:22.864 INFO [pid-2473] @train_eval.py:80 F1: 0.9110576923076923
2025-05-05 21:21:22.864 INFO [pid-2473] @train_eval.py:81 Accuracy: 0.9114114114114115
2025-05-05 21:21:22.864 INFO [pid-2473] @train_eval.py:86 Time usage: 0:00:00
